repo,commit_hash,files_changed,lines_added,lines_deleted,total_changes
django,8703fbdf10b0c97dc35ddeb5d8662d66ca0a0a81,1,58,0,58
django,4f580c465928df97407d74798ad72f2bb60a3e1d,1,9,1,10
django,1717332ca2b39f28cd734e2c91a84bbdc0718b7e,5,12,49,61
django,fd5def6367b835784d9d35927433499345b335e7,1,2,4,6
django,b1bb6af3218e43e770fa94a54f1083e7087b2385,1,3,0,3
django,7c1b3391d35fb10e912783fa6c87712e40de22dc,1,11,10,21
django,c08ed084f9651ab628dad83dd4459d9bba553e22,1,2,2,4
django,c68e4adea0703354508d51895b091771b1f6ac45,2,32,5,37
django,b59c215eab1d6ac98072731ea1fd58e0ebfd6909,2,13,0,13
django,e937be3c1dc02cd06c14875be23d452b426d0d25,2,13,0,13
django,496af73bf620ac5478082c06871bb665c620d414,1,1,1,2
django,f6fd35fc6ddadc93720656b9882e28712f2492fc,1,1,1,2
django,030c63d329c4814da221528e823a4aaaaa40e4f1,7,12,313,325
django,3201a895cba335000827b28768a7b7105c81b415,3,20,15,35
django,d6ae2ed868e43671afc4d433c3d8f4d27f7eb555,4,22,3,25
django,79ab0993d0f2253e10ea638bcefc98ec2d890a47,4,13,9,22
django,c496a7df64ec0a80c2bab7f155aad567155fb37b,1,6,2,8
django,ccf74f7dc771313b41e7c2912a71f9c5b0ae5e1d,12,25,25,50
django,cc0f6c4f74cc278fdab79b269401127f2d869334,2,273,20,293
django,1c34b8716afde049f95ad1c72c2f8e148f826662,2,63,52,115
django,4afe463950453b6d71f0c98f23fd0f1f2bd341bc,5,34,31,65
django,da19b3897dc7c2e99b120d40322b36b4f1a09fe8,3,21,4,25
django,6c2780ffe1aaf526e01287f9d0805143c23c7920,3,51,5,56
django,626c15dba0662d5b9f61cc7eddf985e514293d6f,1,72,0,72
django,7bf3ac3ee255bcfe329e3203c7a2555b1275d506,4,46,2,48
django,8e4b531111ddd3256c45eee601947e475651e8e7,2,21,1,22
django,165c3599965e63f88649a46fcc2ff681c52f2f66,3,18,5,23
django,3923ebac28672ef4ebfbf2685fbc93206e6c136e,1,4,6,10
django,68859a9b45f0b9d472c9277dc61e54afacc0da38,1,1,1,2
django,1eac2659a102d42490f9401b08782633fa51f3e3,6,12,10,22
django,968f3f96373e028f1486d135e38331fcd0e3a0ca,1,0,2,2
django,84bae9c22a8ae7663c56cce5e0c611ea7c17fce1,3,16,0,16
django,0def695e3cbaa9ede9ae4040a24cfed7417f9065,2,0,2,2
django,bddcefb00f555196d3c488fbad71d303e9f7ede1,1,37,0,37
django,cc8ee496a5293ecf7155d61c6052905c92db3ca0,2,85,83,168
django,163d92c1d66e2437a676da4ac8b11291dea3290b,2,9,1,10
django,95394443bff2cd6c5cb47c752422fe1f391bb43d,3,127,9,136
django,6ee8e9d56c17eb0014e73189950a9e8de2a8ec0e,3,24,1,25
django,9cc5c87ffb989991524ee4eb91a435d2296ded2b,1,7,7,14
django,d0d85cd165e54582cce98cf685252e771460a9d4,4,40,3,43
django,6025eab3c509b4de922117e16866bbfe0ee99aa6,4,43,0,43
django,afaa527c437f95ab6f8860840d83480d4d15b099,1,1,1,2
django,e49e14fd9032feb7a8cf254658ac4e74a4ffb712,2,8,1,9
django,5a851bdbfcd627865df7289197190c52221ca070,1,3,0,3
django,33a0a6f033b9243e0cc98e76bd494de73cf144eb,2,51,1,52
django,948f1bf5a1c1c93ee9c6f4baa2fd990e31361f81,2,114,2,116
django,7a2f35b1b755b20a1e4d290a88bf059e6897f798,4,85,13,98
django,60fecd1d445224fa00385f5f1fde75999da7bec8,5,77,0,77
django,b172cbdf33c3eaea6a5c4a53da2ed0e46306a625,4,4,3,7
django,73c987eb3b6a96300f7238dff32caf53cafe2098,3,33,0,33
django,4702b36120ea4c736d3f6b5595496f96e0021e46,7,171,15,186
django,12d574407c466c7929e455cfcfef4c0ff564e465,1,4,1,5
django,6fc2406fc534f97f245b8267703ab598a020fee5,1,7,4,11
django,c3b6c2969171d8867308406bb03d60f86a422904,1,35,11,46
django,4774adfaa18391854bb5449b4bcb0e9ab5e66b73,2,5,5,10
django,0d8548e5831bc610102d5e4b8a2366f26818a28a,4,19,4,23
django,6cc1231285a20b11058143f8cb0a6b4b3999b23a,3,50,4,54
django,d1a4979fa55071581411b7d62eb1ee20f2380ae3,3,6,6,12
django,922c4cf972e04b1ce7ecee592231106724dcfd09,3,65,3,68
django,0071cb1efd559d721e5882da2e18556f867eed76,1,5,4,9
django,2ce5cb0f7a4618dfdc5f5c10e53e2e9b9543d298,2,47,1,48
django,0174a85770356fd12e4c8daa42a4f1c752ae00e6,10,61,14,75
django,e95468ed97b1c250939da316218c39dad577ba32,7,64,5,69
django,accceec9493d08e19d59fa1a59f69c0fdf23bb13,14,233,0,233
django,8932a677258fbda34f24a1be6f426265148b0003,1,3,0,3
django,1651140a80e1b5e19784a6a859b6dd2e44c5d7f7,2,2,2,4
django,dae08cf55b83caef5e8ee39b16417692e8565278,3,28,19,47
django,37eb8909699d261b9b879e6f04dbfeec75b5e080,1,10,2,12
django,cd6278c4c09e4af9b2988d585b372d9abeeb63ee,1,9,16,25
django,2d5a780eb5c83775f428e152517abc05b759cb8a,1,0,0,0
django,7b80b2186300620931009fd62c2969f108fe7a62,1,20,5,25
django,7b54ddd5e64c96c641b70bb5f0e958a9e2035fb2,2,36,21,57
django,9b8e4c6d7d47f7b2e96817ba334e9fd53c10a0df,2,4,4,8
django,66fed37ecb78daf0a50e95151a752b5760293514,2,135,60,195
django,bbabbac936caf6db129427e6e65f03b6d0a68f62,4,68,9,77
django,3ccef1d669de942b9f3280a35ad4d4422b0b46d2,1,18,15,33
django,334308efae8e0c7b1523d5583af32b674a098eba,3,17,4,21
django,af60ae48d98888826928b1c2def47a980f9a4af4,1,12,3,15
django,e726254a380f2a35a2fcf71143e96cb5987d8102,2,46,0,46
django,fd4c5fa3edb1fa3f968085a7cb8b3e19f5646105,2,19,6,25
django,020e5799ad74cfafd469f032cd05767c9d670a16,1,2,2,4
django,1dfd5aa2b5beb2d5354527eae4f2589b828ac06c,1,1,2,3
